Cities,Latitude,Max_Temperature,Humidity,Cloudiness,Wind_Speed
Melito di Porto Salvo,37.92,71.6,83,75,1.5
Neiafu,-18.65,82.4,78,75,6.2
Colac,-38.34,61.6874,68,0,1.62
Amahai,-3.31,79.73240000000006,100,88,2.52
Roald,62.58,62.6,42,56,4.1
Marawi,8.0,75.32240000000007,91,8,0.97
Kavieng,-2.57,86.88739999999999,95,32,4.57
Sao Felix do Xingu,-6.64,77.4374,87,0,1.22
Nushki,29.55,40.71740000000003,39,0,1.37
Hofn,64.25,47.78240000000005,96,92,6.02
Nuuk,64.17,21.2,85,20,3.1
Saint-Augustin,44.83,59.0,100,0,1.0
Xining,36.62,19.072400000000073,71,8,1.32
Khartoum,15.59,87.80000000000001,43,0,3.6
Pemba,-12.97,78.06740000000003,100,100,1.17
Amberley,-43.15,42.8,93,92,9.8
Amnat Charoen,15.86,77.88739999999999,74,8,7.02
Tessalit,20.2,68.57240000000007,34,0,2.67
Juneau,58.3,46.94000000000002,100,90,1.07
Gizo,31.8,73.4,69,40,2.1
Ugoofaaru,5.67,82.9274,99,92,5.17
Teya,21.05,87.80000000000001,62,75,5.1
Meulaboh,4.14,76.13240000000005,100,48,1.07
French Harbor,16.35,84.2,79,40,2.1
Ozernovskiy,51.5,44.632400000000054,100,92,5.62
Ahipara,-35.17,59.12240000000007,86,92,11.47
Matara,-13.74,47.55740000000005,89,88,0.67
Victoria,5.28,82.4,83,75,1.0
Vestmanna,62.16,51.8,100,92,8.7
Warmbad,50.67,62.6,87,0,0.5
Brae,60.4,53.6,100,92,11.3
Kasongo,-4.43,71.22740000000002,96,92,1.07
Tinaquillo,9.92,80.6,74,75,1.12
Touros,-5.2,77.75240000000002,84,56,6.52
Mariel,22.99,84.2,79,20,1.5
Chitral,35.85,18.35240000000001,80,64,0.22
Naryan-Mar,67.67,36.12740000000001,95,68,11.07
Ballina,54.11,50.88739999999999,98,92,12.67
Jinchang,38.52,25.867400000000032,74,0,1.17
Phangnga,8.45,77.0,88,40,1.5
Polson,47.69,42.87740000000001,57,0,0.92
Moranbah,-22.0,80.45240000000001,53,88,3.37
Prado,-17.34,76.89740000000008,99,48,6.47
Kuytun,54.34,25.77740000000001,85,8,1.07
Oksbol,55.63,55.400000000000006,87,12,3.6
High Level,58.52,37.4,64,90,2.1
Mantua,45.16,62.6,77,75,0.5
Tiznit,29.7,64.47740000000002,97,0,0.72
Fare,-16.7,78.92240000000007,100,88,6.62
Bilibino,68.06,18.172400000000074,82,32,1.42
Richards Bay,-28.77,70.14740000000008,92,92,6.37
Ostrovnoy,68.05,28.522400000000072,91,8,5.27
Cabedelo,-6.97,77.0,78,40,5.1
Puksoozero,62.59,30.772400000000072,90,20,3.77
Bagan,54.1,47.55740000000005,53,56,6.72
Vieste,41.88,67.67240000000007,100,76,1.67
Namibe,-15.19,68.3024,100,56,2.07
Chicama,-7.84,68.0,82,40,4.6
Jambi,-1.6,73.07240000000007,96,80,2.02
Capanema,-25.67,77.0,83,75,2.6
Port Hardy,50.7,50.0,87,90,3.1
Kingaroy,-26.54,62.49740000000007,100,92,6.02
Sayyan,15.17,42.15740000000005,58,0,1.42
Lerwick,60.15,53.6,100,92,11.3
Makokou,0.56,72.30740000000006,95,64,1.22
San Benito,6.13,62.40740000000005,100,92,0.22
Huarmey,-10.07,62.00240000000001,77,12,1.62
Cairo,30.05,73.4,69,0,1.42
Yumen,40.29,28.927400000000013,71,0,2.22
Marzuq,14.4,52.82240000000007,43,8,1.17
Vondrozo,-22.82,65.64740000000008,93,100,1.82
Ilinskiy,55.62,41.0,80,0,1.0
Bermeo,43.42,60.8,93,0,1.0
Camacha,33.08,71.6,94,40,3.1
Terskaya,43.72,45.62240000000007,87,0,1.17
Valparaiso,41.47,50.0,86,20,5.1
Manzanillo,20.34,81.9374,100,20,1.62
Yerbogachen,61.28,36.21740000000003,72,92,3.47
Balikpapan,-1.24,76.80740000000006,100,92,2.77
Amol,36.47,65.82740000000001,100,92,1.52
Kokopo,-4.34,83.87240000000008,96,0,1.62
Pahrump,36.21,77.0,24,40,1.17
Bosaso,11.28,83.91740000000004,94,0,2.27
Jiangyou,31.78,55.25240000000001,96,92,1.42
Kieta,-6.22,79.28240000000005,100,20,2.07
Tual,-5.67,80.13739999999999,100,20,4.67
Bitung,1.44,75.2,94,40,0.5
San Cristobal,-0.39,60.8,55,75,6.2
Garmsar,35.22,48.772400000000076,78,0,1.22
Paamiut,61.99,35.13739999999999,100,0,12.32
Okakarara,-20.59,67.13240000000005,27,76,2.67
Shakawe,-18.36,62.67740000000001,37,8,1.97
Mechetinskaya,46.77,51.382400000000054,72,0,5.37
Calama,-22.46,68.0,16,0,14.4
Khandbari,27.38,37.97240000000007,76,92,0.72
Ancud,-41.87,47.19740000000007,73,36,2.72
Vila do Maio,15.13,78.80000000000001,78,20,5.1
Pacific Grove,36.62,73.4,40,1,2.22
Harper,30.3,75.92000000000007,49,90,2.1
Egvekinot,66.32,33.47240000000007,79,80,5.57
Khlong Luang,14.06,82.4,88,20,2.1
Hauterive,46.09,66.2,63,0,9.8
Poykovskiy,61.23,39.2,100,75,2.0
Filingue,14.35,78.83240000000006,57,8,4.27
Ferme-Neuve,46.7,56.19740000000007,84,0,3.87
Durant,33.99,71.6,56,40,2.1
Viedma,-40.81,57.817400000000035,29,92,6.17
Jurm,36.86,20.197400000000073,62,48,0.87
Chernyshevskiy,63.01,34.59740000000007,97,92,2.77
Haines Junction,60.75,41.30240000000001,50,32,1.17
Awbari,26.59,72.98240000000006,34,36,3.87
Sungairaya,0.7,75.23240000000006,100,80,1.67
Xichang,27.88,45.982400000000055,100,92,0.77
Port Macquarie,-31.43,62.6,63,90,2.6
Erenhot,43.65,26.72240000000007,69,0,2.57
Melfi,41.0,57.2,76,40,1.5
Toora-Khem,52.47,17.677400000000013,80,0,0.47
At-Bashi,41.17,19.47740000000001,78,8,0.77
Bilma,18.69,78.15740000000005,25,68,1.62
Vila Velha,-3.71,80.6,69,0,3.6
Kopervik,59.28,60.8,67,32,6.2
Mercedes,-33.25,51.15740000000005,100,92,6.27
Cuauhtemoc,28.72,75.2,94,90,1.5
Poum,41.28,36.487399999999994,84,0,0.72
De Aar,-30.65,57.95240000000001,23,36,3.37
Berlevag,70.86,42.8,81,40,6.2
Karasjok,69.47,35.6,80,12,3.1
Tottori,35.5,57.2,82,75,2.1
Quatre Cocos,-20.21,71.6,64,40,3.1
Baran,25.1,72.21740000000003,68,0,3.47
Seoul,37.57,51.8,66,0,3.6
Padang,-0.92,78.24740000000008,100,64,5.22
Piacabucu,-10.41,75.95240000000001,74,80,4.07
Nadym,65.53,31.35740000000005,99,92,3.42
Kiratpur,29.5,63.397400000000076,91,0,1.22
Axim,4.87,79.32740000000001,97,92,4.32
Kambove,-10.88,63.35240000000002,77,0,1.22
Katangli,51.71,45.57740000000001,100,0,2.67
Barda,56.93,33.83240000000005,83,80,3.42
Acapulco,16.86,86.0,74,75,3.6
Iqaluit,63.75,23.0,85,75,4.6
Foggia,41.46,57.2,76,40,1.5
Mehamn,71.03,42.8,81,40,6.2
Ilam,33.64,66.2,24,0,2.1
Khilok,51.36,26.677400000000013,69,12,1.07
Chaplynka,46.36,53.72240000000008,79,0,5.27
Deputatskiy,69.3,7.552400000000009,79,56,1.22
Ivolginsk,51.75,33.8,80,20,2.0
Hukuntsi,-23.98,68.48240000000006,21,48,2.57
Mayo,63.59,32.0,80,90,1.52
Registro,-24.5,62.857400000000055,99,92,3.92
Prince Rupert,54.32,51.8,87,90,8.2
Katobu,-4.94,80.94740000000007,93,0,1.22
Northam,51.04,57.2,87,20,5.1
Grafenhainichen,51.73,55.400000000000006,66,0,4.1
Pathein,16.78,75.77240000000008,98,48,2.22
Linkou,45.29,43.10240000000001,78,0,2.52
Lata,30.78,42.42740000000001,76,0,1.17
Scarborough,54.28,60.8,82,24,2.6
Tondi,10.88,75.72740000000002,87,44,1.17
La Ronge,55.1,41.0,52,20,3.1
Erzin,36.95,71.6,68,20,2.6
San Felipe,-32.75,62.6,51,0,7.2
Kumhari,21.25,72.39740000000008,96,92,4.97
Ayotzintepec,17.67,70.05740000000006,95,44,0.72
Guane,22.2,81.4874,82,88,0.92
Georgetown,6.8,82.4,83,20,5.1
Sambava,-14.27,74.01740000000004,100,92,8.72
Labuhan,-2.54,78.87740000000002,82,24,1.22
Yinchuan,38.48,34.55240000000001,55,0,2.87
Olpad,21.34,83.15240000000001,85,0,6.02
Moberly,39.42,55.04000000000002,52,1,2.1
Casas Grandes,30.15,63.21740000000003,94,92,2.02
Canchungo,12.07,82.4,88,40,6.2
The Valley,18.22,82.4,83,20,3.1
Pingliang,35.54,34.59740000000007,83,0,1.22
Hegang,47.34,42.83240000000005,63,0,1.67
Porto Novo,-23.68,69.80000000000001,83,75,4.6
Mahajanga,-15.72,78.80000000000001,57,20,3.1
Maniitsoq,65.42,19.47740000000001,100,0,2.42
Akdepe,42.05,50.0,61,0,3.32
Rioja,-6.06,64.38739999999999,98,48,0.87
Mus,43.74,68.0,82,40,1.5
Gao,16.28,77.3024,40,0,1.42
Ciudad Bolivar,8.12,76.26740000000004,90,76,1.67
Fairbanks,64.84,41.72000000000006,93,90,1.5
Tsabong,-26.02,69.24740000000008,23,0,5.42
Bolshoye Selo,57.72,30.052400000000013,79,0,1.87
Vilyuysk,63.75,32.70740000000005,94,76,1.22
Noumea,-22.28,78.80000000000001,61,0,3.6
Beringovskiy,63.05,40.987399999999994,100,92,11.42
Belaya Gora,68.54,15.472400000000071,96,76,1.97
Saint-Georges,46.12,52.237399999999994,95,92,3.62
Biltine,14.53,76.22240000000008,21,0,5.42
Oranjemund,-28.55,59.30240000000001,96,88,9.62
Princeton,41.37,50.18000000000004,53,1,7.7
Paso de Carrasco,-34.86,53.6,66,0,5.1
Kovacica,45.11,64.4,71,0,3.6
Geraldton,49.72,30.2,92,90,3.6
Ati,13.21,71.00240000000002,59,20,1.22
Lasa,34.92,69.80000000000001,77,20,4.1
Neustrelitz,53.36,59.93240000000006,62,0,6.27
Rajula,21.04,79.14740000000008,51,0,4.12
Angoche,-16.23,77.3024,100,0,0.97
Moanda,-5.93,73.56740000000003,94,56,1.57
Altay,47.83,17.272400000000072,64,0,1.37
Jacareacanga,-6.22,78.15740000000005,93,12,0.87
Bukene,-4.23,71.90240000000001,52,48,3.42
Kazachinskoye,57.69,30.23240000000005,88,32,2.52
Kjollefjord,70.95,42.8,81,40,6.2
Narasannapeta,18.42,71.90240000000001,100,100,1.32
Sarangani,5.4,84.50240000000002,96,0,4.67
Hervey Bay,-25.3,68.88739999999999,100,92,4.52
Husavik,50.56,31.40240000000001,96,56,4.37
Manadhoo,5.77,83.01740000000004,99,92,5.47
Coquimbo,-29.95,57.2,67,0,4.1
Palafrugell,41.92,64.4,100,20,1.5
Tacoronte,28.48,73.4,93,0,2.47
Videira,-27.01,57.63739999999999,83,48,5.02
Buluang,10.47,80.6,88,40,1.5
Ankazobe,-18.32,59.0,93,75,2.6
Sakaiminato,35.55,55.400000000000006,76,75,2.6
Priiskovyy,51.93,33.78739999999999,79,0,1.82
Laurinburg,34.77,78.08000000000004,90,90,2.6
Yuncheng,35.03,43.05740000000005,77,32,1.42
Flin Flon,54.77,37.4,37,5,3.1
Conde,-11.81,74.91740000000004,93,92,3.87
Constitucion,23.99,78.80000000000001,16,75,4.6
Borgloon,50.8,66.2,59,0,5.1
Strezhevoy,60.73,42.8,100,75,5.0
Olean,42.08,60.08000000000004,87,90,2.1
Pimentel,-3.7,76.71740000000003,86,12,2.02
Russell,-33.01,68.0,20,40,1.5
Yendi,9.45,77.07740000000001,93,48,1.37
Trapani,38.02,71.6,78,0,3.1
Klyuchi,52.25,42.24740000000007,69,0,5.42
Kamaishi,39.28,62.67740000000001,88,56,2.77
Port Lincoln,-34.72,64.20740000000006,82,20,6.62
Kiama,-34.67,57.2,67,75,4.6
Ubeda,43.34,58.53739999999999,59,24,4.67
Bandarbeyla,9.49,75.90740000000005,92,0,5.57
Tateyama,36.66,57.2,93,75,1.0
Euclides da Cunha,-10.51,77.97740000000002,52,0,6.47
Romitan,39.93,40.26740000000003,80,0,1.22
Hearst,49.69,33.607400000000055,97,88,4.07
Kalianget,-7.35,70.37240000000008,83,12,1.32
Champerico,16.38,77.0,78,90,5.1
Mar de Espanha,-21.87,67.67240000000007,98,92,1.52
Saint Anthony,43.97,48.02000000000007,9,75,2.6
Rudsar,37.14,66.2,100,75,4.1
Alindao,5.04,68.12240000000008,97,92,1.32
Salaga,8.55,77.97740000000002,88,76,1.42
Topolevo,48.51,33.8,87,0,1.0
Lopatyn,50.22,44.58739999999999,83,0,1.77
Singkang,2.1,72.12740000000002,98,76,1.37
Hamilton,43.26,59.0,66,75,6.2
Birjand,32.86,46.4,17,0,3.1
Rudnogorsk,57.27,32.97740000000001,91,48,2.67
Biertan,46.14,44.6,87,0,2.6
Penzance,50.12,55.400000000000006,93,75,6.2
Umm Lajj,25.02,72.84740000000008,100,0,3.57
Almeirim,39.21,64.4,88,20,3.1
Ingham,-18.65,76.40240000000001,94,68,2.47
Gamba,28.28,16.05740000000005,83,80,1.12
Mumford,5.26,75.81740000000003,96,32,3.17
Sechura,-5.56,68.25740000000005,80,8,4.37
Brownwood,31.71,73.04000000000002,46,40,4.6
Flinders,-34.58,57.2,67,75,4.6
Shyryayeve,47.38,45.53240000000005,85,20,3.17
Panjakent,39.5,44.6,87,0,1.0
Chum Phae,16.54,68.75240000000002,87,12,1.12
Okhotsk,59.36,32.12240000000007,100,0,3.02
Arandis,-22.42,62.00240000000001,91,76,0.77
Honningsvag,70.98,42.8,81,40,6.2
Broome,52.47,62.42000000000006,93,0,4.1
Wadi Maliz,36.47,66.2,77,20,1.07
Olinda,-2.03,78.80000000000001,69,75,3.6
Mankono,8.06,74.10740000000006,87,44,1.97
Nome,30.04,80.9600000000001,43,1,3.6
Mabaruma,8.2,81.66740000000004,81,20,3.82
Ixtapa,20.71,84.2,70,75,4.6
Tygda,53.11,36.397400000000076,68,20,1.67
Lazaro Cardenas,28.39,84.2,23,40,3.6
